Etunimi;Lukumäärä
Ailin;28
Aiman;6
Aime;19
Aimé;5
Aimee;32
Aimée;20
Aimi;79
Aina;839
Aina-Ilona;8
Aina-Maria;15
Ainamo;84
Ainara;6
Ainaz;6
Ainhoa;8
Aini;2599
Ainikki;350
Aino;36280
Ainoa;8
Aino-Amanda;5
Aino-Annikki;5
Aino-Elina;67
Aino-Elisa;11
Aino-Ellen;6
Aino-Emilia;36
Aino-Helena;13
Aino-Ilona;23
Aino-Inkeri;45
Aino-Julia;5
Aino-Kaarina;11
Aino-Kaija;6
Ainokaisa;26
Aino-Kaisa;152
Aino-Kaisla;5
Aino-Katri;5
Aino-Kerttu;7
Ainoleena;5
Aino-Leena;30
Ainoliina;21
Aino-Liina;12
Ainoliisa;23
Aino-Liisa;74
Aino-Linnea;7
Aino-Lotta;10
Aino-Lyydia;5
Aino-Maaria;17
Ainomaija;52
Aino-Maija;256
Ainomari;19
Aino-Mari;31
Ainomaria;48
Aino-Maria;307
Ainomarja;6
Aino-Marja;31
Aino-Marjatta;10
Aino-Olivia;8
Aino-Orvokki;6
Aino-Riikka;9
Aino-Riitta;14
Aino-Sisko;14
Ainosofia;5
Aino-Sofia;80
Ainotar;10
Aino-Tuulia;7
Ainu;120
Ainur;6
Ainut;8
Aira;4152
Aira-Liisa;12
Aira-Maria;5
Aire;46
Airi;6515
Airiina;37
Airikki;22
Airin;12
Airina;9
Airis;7
Airut;9
Aisa;7
Aisha;419
Aishah;9
Aishe;6
Aisho;6
Aishwarya;6
Aisla;67
Aisling;9
Aissa;15
Aissatou;6
Aiva;7
Aive;6
Aivi;62
Aiya;5
Aiyana;7
Aiza;5
Aja;9
Ajana;8
Ajatar;7
Ajda;5
Ajla;27
Ajlin;5
Ajna;5
Ajsa;9
Åkesdotter;13
Akhtar;6
Akiko;8
Akiliina;12
Akintytär;25
Akinyi;10
Akira;13
Akosua;15
Akram;16
Aksa;28
Aksana;12
Akseliina;12
Akselina;6
Aksenia;7
Aksia;5
Aksiina;35
Aksinja;8
Akter;12
Aku;6
Akua;18
Akuliina;105
Akulina;8
Akustiina;8
Akveliina;20
Akviliina;25
Akvilina;6
Al;7
Ala;15
Alaa;33
Alaia;9
Alaina;7
Alam;7
Alana;46
Alanna;22
Alannah;6
Alara;11
Alaska;7
Alawi;5
Alba;74
Albana;17
Alberta;23
Albertiina;146
Albertina;103
Albina;69
Albulena;18
Alda;45
Alde;7
Aldi;12
Aldina;8
Alea;28
Alecia;17
Aleena;17
Aleftina;13
Alegria;6
Aleida;13
Aleina;9
Alejandra;55
Aleksa;48
Aleksanda;11
Aleksander;6
Aleksandra;13962
Aleksandria;27
Aleksandrina;5
Aleksandrovna;75
Aleksanni;6
Aleksanteri;8
Aleksantra;73
Alekseevna;17
Aleksejevna;13
Aleksi;14
Aleksia;106
Aleksiina;449
Aleksina;64
Aleksintytär;9
Alem;5
Alena;151
Alesia;26
Alessa;109
Alessandra;246
Alessia;324
Aleta;8
Aletta;157
Alette;18
Alevtina;36
Alex;67
Alexa;236
Alexander;42
Alexandra;13417
Alexandria;85
Alexandrina;7
Alexandrine;18
Alexandrovna;19
Alexanna;5
Alexia;357
Alexiina;45
Alexina;85
Alexintytär;5
Alexis;49
Alexsandra;412
Alexzandra;6
Aleyna;30
Alfa;38
Alfhild;107
Alfhilda;27
Alfia;11
Alfiina;29
Alfilda;5
Alfina;10
Alfrida;42
Alfriida;9
Alfsol;6
Alheidi;5
Ali;528
Alia;70
Aliah;7
Aliana;10
Alic;7
Alica;58
Alice;5195
Alicia;808
Alicja;25
Alida;149
Alide;13
Alie;5
Aliénor;5
Aliia;6
Aliida;35
Aliide;13
Aliina;2161
Aliisa;5894
Aliise;56
Aliisi;70
Aliisia;13
Aliissa;5
Alika;5
Aliki;5
Alila;9
Alima;7
Alin;9
Alina;10596
Alinda;139
Aline;130
Alis;9
Alisa;8139
Alise;498
Alisha;48
Alisi;11
Alisia;117
Alison;46
Alissa;1014
Alissia;13
Alita;16
Alivia;11
Alix;20
Aliya;26
Aliyah;28
Aliza;19
Alizée;6
Alizia;6
Alja;14
Aljona;21
Alla;216
Allas;5
Allegra;25
Alli;2839
Allida;16
Allie;9
Alliina;11
Allikki;6
Alli-Maria;6
Allis;14
Allison;22
Allu;5
Ally;6
Alma;4140
Almaas;12
Alma-Maria;7
Almas;15
Alma-Sofia;8
Almaz;12
Almedina;5
Almi;7
Almida;12
Almiina;29
Almiira;9
Almina;15
Almira;23
Alona;31
Alondra;6
Alphonsine;5
Alpontytär;5
Alsu;6
Althea;22
Altina;6
Aluel;6
Alva;1178
Älva;6
Alvi;16
Alvia;6
Alviida;10
Alviina;282
Alviira;16
Alvina;135
Alwa;17
Alwan;11
Aly;6
Alya;14
Alycia;5
Alyna;7
Alysa;10
Alyssa;138
Ama;45
Amaal;26
Amaalia;8
Amada;7
Amadea;34
Amaia;21
Amaka;6
Amal;131
Amalia;4881
Amalie;70
Amaliina;13
Aman;7
Amanda;22499
Amandeep;6
Amandine;21
Amandla;7
Amani;40
Amanita;9
Amanta;10
Amar;7
Amara;28
Amarachi;16
Amari;6
Amaryllis;7
Amatullah;5
Amaya;39
Amber;48
Ambra;9
Ambrosia;17
Ameer;5
Amel;23
Amela;21
Ameli;14
Amelia;1978
Amélia;16
Amelie;1265
Amelié;28
Amélie;176
Amelii;8
Ameliia;7
Ameliina;30
Ameliitta;5
Amelina;10
Amen;5
Amena;7
Amenah;7
Ameneh;8
Amer;8
Ami;55
Amica;10
Amidala;9
Amie;32
Amiina;10
Amiira;53
Amila;17
Amilda;30
Amilia;69
Amilla;7
Amin;23
Amina;500
Aminah;11
Aminat;5
Aminata;31
Aminda;16
Amine;23
Amino;16
Amir;14
Amira;348
Amirah;12
Amit;6
Amita;8
Amjad;6
Amma;8
Ammar;9
Ammi;15
Amna;30
Amol;5
Amor;5
Amora;5
Amorina;11
Amour;5
Amparo;8
Amporn;5
Amra;25
Amran;25
Amrita;28
Amy;225
An;61
Ana;219
Anab;36
Anabel;30
Anabella;15
Anabelle;5
Anactasia;10
Anahit;6
Anahita;26
Anais;33
Anaïs;40
Anamaria;6
Ana-Maria;8
Ananda;20
Anas;8
Anastaasia;28
Anastacia;265
Anastasia;2232
Anastasiia;68
Anastasija;67
Anastasiya;26
Anastassia;73
Anastazia;6
Anat;6
Anatolevna;5
Anatolievna;9
Anatoljevna;28
Anaya;6
Anca;5
Ancela;69
Anceli;6
Ancelica;10
Anceliga;148
Anceliina;7
Ancelika;53
Ancelina;13
Anda;6
Andeliina;13
Andelina;9
Andersdotter;44
Andra;15
Andrea;723
Andréa;74
Andreas;5
Andreasdotter;7
Andrée;9
Andreea;21
Andreevna;8
Andreia;5
Andreina;6
Andrejevna;7
Andri;5
Andria;9
Andriana;9
Andrietta;8
Andriette;8
Andrina;6
Andrine;5
Andromeda;9
Anduena;5
Ane;9
Anea;6
Aneka;7
Anela;12
Anele;9
Aneli;5
Anella;5
Anelma;2614
Anemone;12
Aneri;6
Anerva;16
Anervi;8
Anervo;12
Anesa;16
Anessa;16
Anet;13
Aneta;15
Anete;5
Anett;51
Anetta;74
Anette;3758
Anetti;8
Anfac;6
Anfiisa;9
Anfisa;20
Ange;5
Angel;95
Angela;529
Angele;5
Angéle;5
Angeles;12
Angeli;25
Angelia;13
Angelic;5
Angelica;808
Angélica;6
Angelie;7
Angeliga;6
Angeliina;65
Angelika;430
Angeliki;12
Angelina;620
Angeline;27
Angeliqa;6
Angelique;87
Angélique;9
Angelita;14
Angervo;76
Angie;14
Anh;184
Ánh;6
Anhaar;5
Ani;224
Ania;48
Aniara;14
Anica;12
Anida;13
Aniela;54
Anielka;10
Aniella;10
Anifa;5
Aniina;28
Aniisa;5
Aniita;124
Aniitta;317
Anika;111
Anikka;9
Aniko;8
Anikó;9
Anila;16
Anilia;6
Anilla;36
Anima;11
Anina;90
Anine;13
Aninka;32
Anis;8
Anisa;143
Anisha;6
Anisia;13
Anisja;5
Aniso;11
Anissa;49
Anita;21971
Anitha;6
Anitra;232
Anitta;4848
Anja;23089
Anja-Irmeli;6
Anja-Kaarina;24
Anja-Kaisa;8
Anja-Leena;42
Anjali;9
Anja-Liisa;97
Anja-Maija;25
Anja-Maria;22
Anjariitta;6
Anja-Riitta;118
Anjatta;13
Anjela;6
Anjelica;10
Anjelika;19
Anju;28
Anjukka;5
Anjuli;11
Anjuska;44
Anjuta;6
Anke;6
Anki;74
Anleena;6
Anmari;73
Ann;1157
Anna;46233
Ánná;6
Anna-Beata;10
Annabel;220
Annabell;34
Annabella;349
Anna-Bella;32
Annabelle;56
Annabeth;6
Anna-Brita;27
Anna-Britt;5
Anna-Britta;7
Anna-Carin;15
Anna-Carina;5
Anna-Carolina;5
Anna-Cecilia;7
Anna-Charlotta;9
Anna-Christina;11
Annada;9
Anna-Eerika;5
Anna-Elena;8
Anna-Eliisa;12
Annaelina;7
Anna-Elina;154
Anna-Elisa;24
Anna-Emilia;135
Anna-Erica;7
Anna-Erika;25
Anna-Eveliina;17
Anna-Greetta;9
Anna-Greta;92
Anna-Helena;78
Anna-Henriikka;7
Anna-Ilona;15
Anna-Inkeri;14
Anna-Johanna;10
Anna-Julia;35
Anna-Juulia;13
Annakaarina;7
Anna-Kaarina;305
Annakaija;5
Anna-Kaija;52
Annakaisa;258
Anna-Kaisa;1668
Anna-Kaisu;6
Anna-Kajsa;21
Anna-Karin;111
Anna-Karina;5
Anna-Karita;5
Anna-Karoliina;82
Anna-Karolina;8
Anna-Katariina;103
Anna-Katarina;25
Annakatri;9
Anna-Katri;49
Anna-Katriina;62
Anna-Kerttu;9
Anna-Kreeta;21
Anna-Kreetta;22
Anna-Kristiina;142
Anna-Kristina;33
Anna-Laura;18
Annalea;16
Anna-Lea;28
Annaleea;6
Anna-Leea;28
Annaleena;195
Anna-Leena;1229
Annalena;16
Anna-Lena;311
Annaliina;64
Anna-Liina;28
Annaliisa;298
Anna-Liisa;9325
Annalina;10
Anna-Linda;6
Anna-Linnea;12
Annalisa;32
Anna-Lisa;391
Annalotta;17
Anna-Lotta;79
Anna-Loviisa;10
Anna-Lovisa;10
Anna-Lydia;6
Anna-Lyydia;14
Anna-Maaret;11
Annamaaria;26
Anna-Maaria;116
Anna-Maarit;65
Anna-Mai;5
Annamaija;238
Anna-Maija;3220
Anna-Maiju;5
Anna-Maj;19
Anna-Maja;7
Annamari;966
Anna-Mari;1370
Annamaria;295
Anna-Maria;2297
Annamária;12
Annamarie;8
Anna-Marie;35
Anna-Mariia;14
Anna-Marija;8
Anna-Marika;17
Anna-Marita;10
Annamarja;9
Anna-Marja;133
Anna-Marjaana;9
Anna-Marjatta;11
Anna-Marketta;7
Anna-Matilda;16
Annami;54
Anna-Mi;22
Anna-Mia;11
Anna-Miia;11
Annamiina;8
Anna-Miina;7
Anna-Olivia;7
Anna-Pauliina;34
Anna-Pia;15
Annareeta;9
Anna-Reeta;53
Annareetta;26
Anna-Reetta;146
Annariikka;59
Anna-Riikka;282
Annariina;129
Anna-Riina;69
Annariitta;29
Anna-Riitta;281
Annarilla;8
Annaroosa;6
Anna-Roosa;10
Annarosa;12
Anna-Rosa;10
Anna-Sara;11
Anna-Sisko;20
Annasofia;37
Anna-Sofia;616
Anna-Sophie;6
Annastiina;836
Anna-Stiina;116
Annastina;118
Anna-Stina;159
Anna-Tuulia;29
Anna-Ulla;9
Anna-Veera;6
Ann-Britt;230
Ann-Caroline;21
Ann-Catherine;8
Ann-Cathrin;20
Ann-Cathrine;30
Ann-Catrin;78
Ann-Catrine;31
Ann-Charlott;103
Ann-Charlotta;10
Ann-Charlotte;319
Ann-Chatrine;10
Ann-Christin;421
Ann-Christina;13
Ann-Christine;491
Ann-Cristin;12
Ann-Cristine;15
Anne;34960
Annea;18
Annéa;6
Anne-Birgitta;10
Anne-Britt;16
Anne-Carita;9
Anne-Caroline;5
Anne-Charlotte;48
Anne-Christina;8
Anne-Christine;41
Anne-Elina;22
Anne-Helena;30
Anne-Irene;8
Anneka;102
Anne-Kaarina;41
Anne-Kaisa;15
Anne-Katariina;14
Anne-Katriina;8
Anneke;21
Anne-Kristiina;88
Anne-Kristin;5
Anne-Kristina;17
Anne-Kristine;5
Annel;33
Annele;2184
Annelea;5
Anne-Lea;7
Anne-Leena;30
Annelei;6
Anne-Lena;5
Anneli;120735
Anne-Li;5
Annelie;141
Anne-Lie;10
Anneliese;11
Anneliina;64
Anneliisa;10
Anne-Liisa;52
Annelina;8
Anne-Lis;5
Ann-Elisabeth;8
Annelise;23
Anne-Louise;9
Annely;16
Anne-Maaret;36
Anne-Maaria;32
Annemaarit;5
Anne-Maarit;588
Anne-Mai;32
Anne-Maij;7
Annemaija;7
Anne-Maija;217
Anne-Maiju;6
Annemaj;10
Anne-Maj;627
Anne-Margit;7
Annemari;532
Anne-Mari;2596
Annemaria;34
Anne-Maria;1218
Annemarie;73
Anne-Marie;1116
Anne-Mariia;6
Anne-Marika;36
Anne-Marit;12
Anne-Marita;85
Anne-Maritta;28
Anne-Marja;192
Anne-Marjaana;8
Anne-Marjatta;15
Anne-Marjo;19
Anne-Marjukka;6
Anne-Marjut;45
Anne-May;80
Annemi;31
Anne-Mi;8
Anne-Mie;6
Anne-Miia;5
Anne-Mirjami;5
Annemo;15
Annentytär;11
Anne-Riikka;10
Anneriina;5
Anne-Riitta;104
Anne-Sisko;15
Anne-Sofia;9
Anne-Sofie;12
Anne-Sophie;10
Annestiina;5
Annet;6
Annett;16
Annetta;16
Annette;1483
Anne-Tuulia;5
Annevi;20
Ann-Gerd;7
Ann-Gret;15
Ann-Helen;80
Ann-Helén;9
Ann-Helene;11
Anni;19927
Annia;5
Annica;438
Annick;6
Annicka;7
Annie;401
Annielina;5
Anni-Elina;60
Anni-Elisa;6
Anni-Ellen;6
Annie-Maj;5
Anni-Emilia;42
Anni-Erika;6
Anni-Eveliina;11
Anni-Helena;30
Anni-Ilona;23
Anniina;15282
Anni-Inkeri;8
Anni-Julia;13
Annika;23489
Anni-Kaarina;5
Annikaisa;17
Anni-Kaisa;72
Anni-Katri;9
Anniki;5
Annikka;788
Annikki;55002
Annileena;20
Anni-Leena;38
Anniliina;44
Anni-Liina;11
Anni-Liisa;15
Annilotta;15
Anni-Lotta;26
Anni-Maaret;5
Annimaari;6
Anni-Maaria;19
Anni-Maarit;10
Annimaija;19
Anni-Maija;59
Anni-Maj;23
Annimari;68
Anni-Mari;94
Annimaria;45
Anni-Maria;204
Anni-Marie;7
Anni-Marja;16
Annina;2819
Anni-Olivia;6
Anni-Pauliina;10
Anni-Reetta;8
Anni-Riikka;16
Anniriina;5
Anni-Riina;11
Anni-Riitta;11
Anni-Roosa;9
Annis;6
Anni-Saara;6
Anni-Sisko;5
Annisofia;8
Anni-Sofia;101
Anni-Stiina;5
Annita;14
Anni-Veera;8
Ann-Jeanette;14
Ann-Karin;5
Ann-Kathrin;8
Ann-Katrin;123
Ann-Katrine;26
Ann-Kristiina;6
Ann-Kristin;271
Ann-Kristina;9
Ann-Kristine;20
Ann-Len;14
Annlis;12
Ann-Lis;142
Ann-Louis;12
Ann-Louise;236
Ann-Maarit;15
Ann-Maj;165
Ann-Margaret;7
Ann-Margret;8
Annmari;100
Ann-Mari;1235
Ann-Maria;51
Annmarie;40
Ann-Marie;650
Ann-Mary;9
Ann-May;28
Ann-Niina;8
Ann-Nina;34
Annoora;8
Annsofi;9
Ann-Sofi;379
Ann-Sofia;22
Annsofie;9
Ann-Sofie;335
Ann-Sophie;26
Annu;898
Annuka;16
Annukka;6395
Annu-Leena;6
Annuli;87
Annuliina;15
Annu-Maaria;6
Annu-Maria;13
Annuska;15
Ann-Viol;13
Anny;20
Anong;5
Anouk;15
Anri;345
Anrietta;5
Anriika;6
Anriikka;22
Anriina;7
Anrika;13
Ansa;983
Ansela;14
Anseli;5
Anselica;11
Anseliga;6
Anseliina;14
Anselika;23
Anselina;9
Anselma;5
Anselmiina;17
Anshur;5
Ansku;16
Anssintytär;12
Ansu;8
Ansuliina;8
Antero;10
Anterontytär;5
Anthea;16
Anthonia;8
Antigona;13
Antintytär;166
Antje;18
Antoinette;143
Anton;12
Antonella;38
Antonetta;5
Antonette;5
Antonia;643
Antonie;8
Antonietta;9
Antoniina;24
Antonina;231
Antonovna;5
Antonsdotter;5
Antrea;11
Anttila;5
Anttoniina;13
Anttonina;7
Anttoona;10
Anttuuna;12
Anu;13431
Anu-Elina;18
Anu-Emilia;5
Anu-Eveliina;5
Anu-Hannele;7
Anu-Helena;7
Anu-Inkeri;5
Anu-Johanna;13
Anu-Kaarina;9
Anukaisa;7
Anu-Kaisa;27
Anu-Katariina;6
Anu-Katri;7
Anu-Katriina;5
Anu-Kristiina;18
Anuleena;8
Anu-Leena;34
Anuliina;67
Anu-Liina;13
Anuliisa;21
Anu-Liisa;39
Anu-Maaria;14
Anu-Maarit;56
Anu-Maija;24
Anumari;11
Anu-Mari;36
Anumaria;6
Anu-Maria;55
Anu-Marika;11
Anu-Marja;12
Anu-Marjaana;7
Anu-Minna;5
Anu-Pauliina;12
Anuradha;8
Anu-Reetta;7
Anuriikka;13
Anu-Riikka;70
Anu-Riina;7
Anu-Riitta;10
Anusha;5
Anushka;5
Anu-Sisko;8
Anu-Susanna;16
Anu-Tiina;5
Anu-Tuulia;10
Anvi;13
Anwar;17
Anwen;5
Anya;87
Anyango;5
Anzal;10
Anzela;13
Anzelika;16
Anzhela;15
Anzhelika;27
Aoife;9
Aparecida;6
Apila;34
Apinya;5
Apollonia;40
Apolonia;10
April;58
Aprilia;6
Aqsa;6
Aqviliina;5
Ara;15
Arabella;51
Araceli;8
Aradia;5
Aralia;20
Aram;6
Aranka;8
Araya;13
Arbenita;9
Arbnora;6
Ardita;19
Ardo;5
Arelia;7
Areliina;5
Aretha;5
Aretta;32
Arezo;12
Arezoo;7
Arezu;9
Argentina;7
Aria;69
Ariadna;16
Ariadne;23
Arian;5
Ariana;198
Ariane;28
Arianna;120
Arianne;34
Ariel;238
Ariela;90
Ariella;52
Arielle;27
Arietta;11
Arif;8
Arife;5
Ariitta;5
Arija;5
Arin;12
Arina;153
Arintytär;62
Arisa;16
Arisara;7
Arisha;5
Arita;86
Aritta;8
Ariya;12
Arja;19879
Arja-Anneli;7
Arja-Hannele;6
Arja-Helena;10
Arja-Kaarina;9
Arja-Kaisa;5
Arjaleena;6
Arja-Leena;272
Arjaliisa;6
Arja-Liisa;306
Arja-Maarit;9
Arja-Maija;20
Arja-Riitta;101
Arja-Sisko;18
Arja-Terttu;10
Arja-Tuulikki;7
Arjeta;5
Arla;271
Arla-Maria;5
Arleena;20
Arlena;16
Arlene;87
Arlette;21
Arlinda;23
Arline;11
Arma;29
Armelle;5
Armi;4043
Armida;270
Armiida;344
Armiina;7
Armiita;6
Arminda;5
Armita;5
Arna;56
Arnella;5
Arnevi;45
Arnika;5
Arnikki;9
Aro;5
Aroha;10
Aronia;29
Arpa;5
Arra;7
Arta;23
Artemis;35
Artina;6
Artontytär;30
Aruna;8
Arvida;5
Arwa;13
Arwen;37
Arya;39
Aryan;5
Aryana;12
Arzo;6
Arzu;12
Asa;6
Åsa;912
Asaad;8
Asad;25
Asal;18
Åsa-Maria;6
Asantewaa;9
Åse;13
Aseel;7
Asel;5
Asena;7
Asha;84
Ashlee;6
Ashleigh;5
Ashley;53
Ashna;7
Asho;19
Ashraf;12
Ashti;5
Asia;26
Asif;7
Asikainen;5
Asil;7
Asiya;23
Asiyah;5
Asja;10
Askontytär;10
Asla;27
Asli;32
Aslög;39
Asma;109
Asmaa;46
Asmin;17
Aspasia;6
Asra;25
Asraa;5
Asrin;13
Assi;448
Assia;7
Asta;4557
Asta-Leena;6
Asta-Maria;7
Aster;42
Asteri;63
Astra;24
Astrea;11
Astri;27
Astrid;2889
Astrit;5
Asya;13
Atanasova;6
Atef;9
Atefa;6
Atefeh;5
Atena;11
Atentytär;5
Ateya;5
Athanasia;5
Athena;54
Athene;33
Athina;31
Atieno;25
Atina;5
Atiya;5
Atlanta;15
Atlas;8
Atsalea;10
Aubrey;5
Audrey;49
August;7
Augusta;532
Auguste;9
Augustiina;29
Augustina;20
Augustine;11
Aukusta;29
Aukustiina;8
Aula;34
Auli;4247
Auliina;8
Aulikki;10927
Aulimaija;5
Auli-Maija;8
Auli-Marja;6
Auli-Sisko;5
Aulona;14
Auma;8
Aune;7984
Aune-Inkeri;5
Aune-Maria;9
Aunetta;11
Auni;299
Aunikki;7
Aura;1637
Aure;25
Aurea;29
Aureelia;33
Aurela;10
Aurelia;1139
Aurélia;8
Aurelie;14
Aurélie;11
Auri;321
Auria;11
Auriina;30
Auringonkukka;14
Aurinko;113
Auroora;1093
Aurora;20465
Aurore;12
Auruura;15
Autumn;7
Auvikki;28
Auvo;16
Ava;1305
Avalia;8
Avalon;17
Ava-Maria;7
Avan;9
Ava-Sofia;7
Ave;17
Avelia;42
Aveliina;16
Avelina;18
Aveline;11
Avella;40
Avena;14
Avery;7
Avesta;13
Aviana;5
Avianna;5
Aviela;6
Avigail;9
Avila;7
Avilla;38
Avin;20
Aviva;38
Avril;11
Avrora;7
Awa;66
Awad;9
Awadh;5
Aweis;6
Awil;16
Awin;5
Awino;7
Awuor;11
Axa;23
Axel;6
Axelia;7
Axelina;31
Axelle;5
Aya;85
Ayaan;71
Ayad;11
Ayah;12
Ayala;9
Ayan;89
Ayana;14
Ayanle;5
Ayat;12
Ayda;32
Aye;16
Ayele;5
Ayesha;25
Ayla;77
Aylin;63
Ayman;12
Aynalem;5
Aynur;20
Ayomide;13
Aysan;5
Ayse;60
Aysegül;10
Aysel;18
Aysha;25
Aysu;6
Ayten;10
Ayu;6
Ayuub;5
Aza;6
Azadeh;15
Azalea;11
Azam;6
Azeb;7
Azemine;7
Azhaar;6
Azhar;7
Azin;6
Azita;10
Aziz;28
Aziza;29
Azize;8
Azra;56
B.;6
Ba;5
Babette;15
Baby;7
Bach;7
Badria;5
Bafrin;6
Bahar;55
Bahare;7
Bahati;5
Bahia;7
Bahija;6
Bahja;12
Bahra;5
Bahrije;6
Bailey;6
Balqisa;5
Bambi;17
Banaz;7
Bang;8
Bani;6
Banu;11
Bao;56
Baraa;7
Baran;14
Barbara;362
Bärbel;6
Barbi;12
Barbra;5
Barbro;1257
Barita;17
Barre;6
Bashiir;13
Bashir;48
Basma;16
Bassam;5
Batool;13
Batseba;6
Batul;9
Baya;6
Bayan;12
Be;14
Bea;797
Béa;5
Beada;62
Bea-Maria;5
Beanna;7
Beata;950
Beáta;12
Beate;45
Beatha;6
Beatric;6
Beatrice;1274
Béatrice;17
Beatris;8
Beatrise;6
Beatrix;57
Beatriz;63
Beatta;26
Bebe;6
Beda;175
Bee;7
Beea;78
Beeda;88
Beerit;31
Begard;5
Begum;6
Behije;6
Bei;7
Bela;10
Belen;6
Belén;8
Belina;5
Belinda;272
Bella;555
Bella-Maria;6
Belle;32
Belma;13
Ben;6
